PRKPLCE_NO,PRKPLCE_NM,PRKPLCE_SE,PRKPLCE_TYPE,RDNMADR,LNMADR,PRKCMPRT,FEEDING_SE,ENFORCE_SE,OPER_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,BASIC_TIME,BASIC_CHARGE,ADD_UNIT_TIME,ADD_UNIT_CHARGE,MONTH_CMMTKT,INSTITUTION_NM,PHONE_NUMBER,LATITUDE,LONGITUDE,REFERENCE_DATE
209-2-000024,호계3동노외 주차장,공영,노외,,"경기도 안양시 동안구 호계동 1006-4,5",41,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.368702,126.958851,2026-04-17
208-2-000012,관악역4환승 주차장,공영,노외,경기도 안양시 만안구 경수대로1273번길 25,,118,3,미시행,평일,09:00,17:00,30,200,,,,경기도 안양시,031-8045-5255,37.419812,126.908973,2026-04-17
208-2-000011,관악역3환승 주차장,공영,노외,경기도 안양시 만안구 경수대로1273번길 49,,96,3,미시행,평일,09:00,17:00,30,200,,,,경기도 안양시,031-8045-5255,37.418959,126.909725,2026-04-17
208-2-000010,병목안시민공원 주차장,공영,노외,경기도 안양시 만안구 병목안로 215,,170,3,미시행,평일+토요일+공휴일,09:00,21:00,30,200,,,,경기도 안양시,031-8045-5255,37.385292,126.907662,2026-04-17
208-2-000009,냉천놀이터 주차장,공영,노외,경기도 안양시 만안구 안양로263번길 31,,101,3,미시행,평일+토요일+공휴일,00:00,23:59,30,200,,,,경기도 안양시,031-8045-5255,37.395251,126.922045,2026-04-17
208-2-000008,삼덕공원지하 주차장,공영,노외,경기도 안양시 만안구 삼덕로 106,,194,2,미시행,평일+토요일+공휴일,10:00,20:00,30,400,,,,경기도 안양시,031-8045-5255,37.397387,126.916402,2026-04-17
208-2-000007,삼덕노외 주차장,공영,노외,경기도 안양시 만안구 안양로263번길 31,,91,2,미시행,평일+토요일+공휴일,10:00,20:00,30,400,,,,경기도 안양시,031-8045-5255,37.395251,126.922045,2026-04-17
208-2-000006,안양4동 노외 주차장,공영,노외,경기도 안양시 만안구 냉천로203번길 15,,149,2,미시행,평일+토요일,10:00,20:00,30,400,,,,경기도 안양시,031-8045-5255,37.397271,126.918516,2026-04-17
208-2-000005,개나리놀이터 주차장,공영,노외,경기도 안양시 만안구 안양로343번길 57-7,,56,4,미시행,평일+토요일+공휴일,00:00,23:59,30,200,,,,경기도 안양시,031-8045-5255,37.401510,126.915331,2026-04-17
208-2-000004,안양2동 노외 주차장,공영,노외,경기도 안양시 만안구 안양로384번길 50,,40,1,미시행,평일+토요일,09:00,19:00,30,600,,,,경기도 안양시,031-8045-5255,37.405082,126.917823,2026-04-17
208-2-000003,청원노외 주차장,공영,노외,경기도 안양시 만안구 안양로360번길 35,경기도 안양시 만안구 안양동 688-11,29,2,미시행,평일+토요일+공휴일,00:00,23:59,30,400,,,,경기도 안양시,031-8045-5255,37.404503,126.919194,2026-04-17
208-2-000002,남부노외 주차장,공영,노외,경기도 안양시 만안구 안양로248번길 13,,54,1,미시행,평일+토요일,08:00,18:00,30,600,,,,경기도 안양시,031-8045-5255,37.395591,126.925273,2026-04-17
208-2-000001,일번가노외 주차장,공영,노외,경기도 안양시 만안구 만안로 193-1,경기도 안양시 만안구 안양동 622-8,99,1,미시행,평일+토요일+공휴일,10:00,22:00,30,600,,,,경기도 안양시,031-8045-5255,37.398221,126.924903,2026-04-17
208-1-000016,명학역노상 주차장,공영,노상,경기도 안양시 만안구 덕천로 52,,87,2,미시행,평일,09:00,17:00,30,400,,,,경기도 안양시,031-8045-5255,37.385891,126.936294,2026-04-17
208-1-000015,삼봉노상 주차장,공영,노상,,경기도 안양시 만안구 박달동 850,28,2,미시행,평일,09:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.399188,126.900075,2026-04-17
208-1-000014,석수역 좌우측 주차장,공영,노상,경기도 안양시 만안구 연현로 105,경기도 안양시 만안구 석수동 424,119,3,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.433685,126.901917,2026-04-17
